eval_name,Precision,Type,T,Weight type,Architecture,fullname,#Params (B),MoE,CO2 cost (kg),Submission Date,Generation,Base Model
collaiborateorg_Collaiborator-MEDLLM-Llama-3-8B-v2_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,collaiborateorg/Collaiborator-MEDLLM-Llama-3-8B-v2,8.03,False,1.41157826943108,2024-06-27,0,Removed
cpayne1303_cp2024_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,cpayne1303/cp2024,0.031,False,0.0952261152563517,2024-11-26,0,cpayne1303/cp2024
cpayne1303_cp2024-instruct_bfloat16,bfloat16,🟩 continuously pretrained,🟩,Original,LlamaForCausalLM,cpayne1303/cp2024-instruct,0.031,False,0.0643237910282734,2024-11-27,1,cpayne1303/cp2024
cpayne1303_llama-43m-beta_bfloat16,bfloat16,🟩 continuously pretrained,🟩,Original,LlamaForCausalLM,cpayne1303/llama-43m-beta,0.043,False,0.0583918477434125,2024-11-30,1,JackFram/llama-68m
cpayne1303_llama-43m-beta_float16,float16,🟩 continuously pretrained,🟩,Original,LlamaForCausalLM,cpayne1303/llama-43m-beta,0.043,False,0.119831750824546,2024-12-04,1,JackFram/llama-68m
cpayne1303_smallcp2024_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,cpayne1303/smallcp2024,0.002,False,0.0946158897718688,2024-11-27,0,cpayne1303/smallcp2024
crestf411_MN-Slush_bfloat16,bfloat16,🟩 continuously pretrained,🟩,Original,MistralForCausalLM,crestf411/MN-Slush,12.248,False,2.12421819670568,2025-01-04,1,crestf411/MN-Slush (Merge)
cstr_llama3.1-8b-spaetzle-v90_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,cstr/llama3.1-8b-spaetzle-v90,8.03,False,1.55781578616628,2024-09-15,1,cstr/llama3.1-8b-spaetzle-v90 (Merge)
cyberagent_calm3-22b-chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,cyberagent/calm3-22b-chat,22.543,False,3.54849623626439,2024-07-04,0,cyberagent/calm3-22b-chat
darkc0de_BuddyGlassNeverSleeps_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,darkc0de/BuddyGlassNeverSleeps,8.03,False,2.70829754831688,2024-09-16,1,darkc0de/BuddyGlassNeverSleeps (Merge)
darkc0de_BuddyGlassUncensored2025.2_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,darkc0de/BuddyGlassUncensored2025.2,10.306,False,1.79030447885131,2025-01-15,3,tiiuae/Falcon3-10B-Base
darkc0de_BuddyGlass_v0.3_Xortron7MethedUpSwitchedUp_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,darkc0de/BuddyGlass_v0.3_Xortron7MethedUpSwitchedUp,0.007,False,1.79636409252185,2024-09-15,1,darkc0de/BuddyGlass_v0.3_Xortron7MethedUpSwitchedUp (Merge)
databricks_dbrx-base_float16,float16,❓ other,❓,Original,Unknown,databricks/dbrx-base,0,True,10.4534096633079,,0,databricks/dbrx-base
databricks_dbrx-instruct_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,DbrxForCausalLM,databricks/dbrx-instruct,131.597,False,47.9580272731199,2024-06-12,0,databricks/dbrx-instruct
databricks_dolly-v1-6b_bfloat16,bfloat16,🟢 pretrained,🟢,Original,GPTJForCausalLM,databricks/dolly-v1-6b,6,False,1.32155982455247,2024-06-12,0,databricks/dolly-v1-6b
databricks_dolly-v2-12b_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,GPTNeoXForCausalLM,databricks/dolly-v2-12b,12,False,2.79423892455933,2024-06-12,0,databricks/dolly-v2-12b
databricks_dolly-v2-3b_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,GPTNeoXForCausalLM,databricks/dolly-v2-3b,3,False,1.51616896815546,2024-06-12,0,databricks/dolly-v2-3b
databricks_dolly-v2-7b_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,GPTNeoXForCausalLM,databricks/dolly-v2-7b,7,False,1.66041198709336,2024-06-12,0,databricks/dolly-v2-7b
davidkim205_Rhea-72b-v0.5_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,davidkim205/Rhea-72b-v0.5,72,False,17.3773818491004,2024-09-15,0,davidkim205/Rhea-72b-v0.5
davidkim205_nox-solar-10.7b-v4_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,davidkim205/nox-solar-10.7b-v4,10.732,False,1.69795251189026,2024-10-04,0,davidkim205/nox-solar-10.7b-v4
deepseek-ai_DeepSeek-R1-Distill-Llama-70B_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,70.554,False,118.546465600233,2025-01-22,0,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
deepseek-ai_DeepSeek-R1-Distill-Llama-8B_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8.03,False,1.47980563295367,2025-01-20,0,deepseek-ai/DeepSeek-R1-Distill-Llama-8B
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,Qwen2ForCausalLM,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.777,False,1.23641117860439,2025-01-20,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,14.77,False,3.99218997832194,2025-01-20,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Qwen2ForCausalLM,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,32.764,False,47.2759050444694,2025-01-21,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,Qwen2ForCausalLM,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7.616,False,1.36993151919873,2025-01-20,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B
deepseek-ai_deepseek-llm-67b-chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,deepseek-ai/deepseek-llm-67b-chat,67,False,119.643617337393,2024-06-12,0,deepseek-ai/deepseek-llm-67b-chat
